{
{'pixil-frame-0(5).png': [(305, 737, 3, 3),
  (388, 715, 2, 3),
  (426, 709, 2, 3),
  (665, 669, 3, 4),
  (864, 655, 4, 6),
  (650, 654, 3, 3),
  (257, 649, 3, 2),
  (732, 632, 2, 2),
  (506, 623, 3, 3),
  (926, 623, 6, 6),
  (691, 616, 4, 6),
  (845, 606, 4, 3),
  (768, 596, 4, 5),
  (412, 589, 5, 5),
  (446, 583, 4, 3),
  (91, 578, 3, 4),
  (653, 572, 6, 5),
  (361, 549, 3, 4),
  (805, 488, 5, 5),
  (952, 477, 6, 6),
  (209, 470, 42, 38),
  (991, 440, 9, 8),
  (603, 432, 3, 3),
  (333, 419, 5, 4),
  (3, 394, 5, 6),
  (263, 340, 2, 3),
  (221, 329, 2, 3),
  (215, 313, 2, 2),
  (765, 341, 173, 154),
  (157, 267, 2, 3),
  (470, 278, 160, 149),
  (176, 228, 4, 4),
  (281, 224, 11, 7),
  (254, 218, 3, 2),
  (60, 201, 8, 7),
  (47, 197, 9, 6),
  (958, 187, 2, 2),
  (986, 184, 6, 8),
  (396, 181, 2, 2),
  (421, 174, 96, 98),
  (703, 132, 3, 5),
  (834, 113, 2, 3),
  (802, 113, 5, 5),
  (565, 103, 4, 4),
  (266, 96, 5, 4),
  (874, 89, 16, 16),
  (289, 83, 7, 5),
  (582, 81, 2, 2),
  (736, 78, 4, 4),
  (763, 71, 5, 5),
  (945, 64, 3, 3),
  (900, 62, 5, 5),
  (818, 61, 6, 6),
  (130, 50, 4, 5),
  (902, 36, 3, 3),
  (606, 32, 21, 14),
  (561, 31, 9, 6),
  (945, 13, 9, 13),
  (551, 9, 4, 2),
  (814, 0, 6, 8),
  (402, 0, 11, 6),
  (326, 1, 157, 151),
  (282, 0, 4, 2)],
 'pixil-frame-0(8).png': [(989, 745, 4, 5),
  (198, 736, 4, 5),
  (125, 734, 8, 6),
  (668, 700, 4, 4),
  (759, 698, 5, 4),
  (136, 676, 8, 7),
  (697, 664, 6, 6),
  (329, 652, 4, 2),
  (749, 651, 5, 5),
  (776, 648, 2, 2),
  (734, 639, 8, 9),
  (965, 633, 5, 5),
  (757, 623, 3, 2),
  (991, 620, 9, 8),
  (690, 616, 5, 7),
  (742, 611, 4, 2),
  (746, 604, 5, 4),
  (898, 602, 3, 4),
  (979, 598, 4, 3),
  (960, 592, 5, 4),
  (717, 556, 9, 8),
  (824, 542, 36, 24),
  (368, 535, 2, 2),
  (413, 509, 2, 3),
  (992, 503, 2, 2),
  (613, 493, 2, 2),
  (620, 486, 2, 2),
  (852, 470, 86, 93),
  (969, 441, 7, 7),
  (541, 428, 14, 13),
  (444, 410, 2, 5),
  (462, 340, 3, 2),
  (792, 338, 3, 3),
  (743, 271, 10, 9),
  (789, 252, 2, 3),
  (793, 249, 6, 6),
  (451, 183, 2, 2),
  (820, 179, 175, 171),
  (896, 166, 3, 2),
  (887, 163, 3, 2),
  (972, 139, 2, 2),
  (838, 101, 5, 4),
  (763, 71, 4, 4),
  (417, 57, 5, 4),
  (412, 51, 4, 8),
  (596, 20, 2, 2),
  (494, 20, 5, 8),
  (948, 18, 6, 4),
  (382, 16, 3, 3),
  (322, 16, 2, 4),
  (355, 15, 5, 4),
  (80, 15, 196, 191),
  (363, 13, 3, 4),
  (424, 7, 3, 4),
